Year,Laureate,Country,Language,Citation,Genres
1934,Luigi Pirandello(1867–1936),Italy,Italian,"""for his bold and ingenious revival of dramatic and scenic art""[40]","drama, novel, short story"
1935,N/A,N/A,N/A,N/A,N/A
1936,Eugene O'Neill(1888–1953),United States,English,"""for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy""[41]",drama
1937,Roger Martin du Gard(1881–1958),France,French,"""for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel cycleLes Thibault""[42]",novel
1938,Pearl Buck(1892–1973),United States,English,"""for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces""[43]","novel, biography"
1939,Frans Eemil Sillanpää(1888–1964),Finland,Finnish,"""for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature""[44]",novel
1940,N/A,N/A,N/A,N/A,N/A
1941,N/A,N/A,N/A,N/A,N/A
1942,N/A,N/A,N/A,N/A,N/A
1943,N/A,N/A,N/A,N/A,N/A
1944,Johannes Vilhelm Jensen(1873–1950),Denmark,Danish,"""for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style""[45]","novel, short story"
1945,Gabriela Mistral(1889–1957),Chile,Spanish,"""for her lyric poetry, which inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world""[46]",poetry
1946,Hermann Hesse(1877–1962),GermanySwitzerland,German,"""for his inspired writings, which while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style""[47]","novel, poetry"
1947,André Gide(1869–1951),France,French,"""for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight""[48]","novel, essay, drama, memoir"
1948,Thomas Stearns Eliot(1888–1965),United Kingdom(born in theUnited States),English,"""for his outstanding, pioneer contribution to present-day poetry""[49]","poetry, essay, drama"
1949,William Faulkner(1897–1962),United States,English,"""for his powerful and artistically unique contribution to the modern American novel""[50]","novel, short story"
1950,Bertrand Russell(1872–1970),United Kingdom,English,"""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought""[51]","philosophy, essay"
1951,Pär Lagerkvist(1891–1974),Sweden,Swedish,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""[52]","poetry, novel, short story, drama"
1952,François Mauriac(1885–1970),France,French,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""[53]","novel, short story"
1953,Winston Churchill(1874–1965),United Kingdom,English,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""[54]","history, essay,memoir"
1954,Ernest Hemingway(1899–1961),United States,English,"""for his mastery of the art of narrative, most recently demonstrated inThe Old Man and the Sea, and for the influence that he has exerted on contemporary style""[55]","novel, short story, screenplay"
1955,Halldór Laxness(1902–1998),Iceland,Icelandic,"""for his vivid epic power, which has renewed the great narrative art of Iceland""[56]","novel, short story, drama, poetry"
1956,Juan Ramón Jiménez(1881–1958),Spain,Spanish,"""for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity""[57]","poetry, novel"
1957,Albert Camus(1913–1960),France(born inAlgeria),French,"""for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times""[58]","novel, short story, drama, philosophy, essay"
1958,Boris Pasternak(1890–1960),Soviet Union,Russian,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""[59]","novel, poetry, translation"
1959,Salvatore Quasimodo(1901–1968),Italy,Italian,"""for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times""[60]",poetry
1960,Saint-John Perse(1887–1975),France(born inGuadeloupe),French,"""for the soaring flight and the evocative imagery of his poetry, which in a visionary fashion reflects the conditions of our time""[61]",poetry
1961,Ivo Andrić(1892–1975),Yugoslavia(born inAustria-Hungary),Serbo-Croatian,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""[62]","novel, short story"
1962,John Steinbeck(1902–1968),United States,English,"""for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception""[63]","novel, short story, screenplay"
1963,Giorgos Seferis(1900–1971),Greece(born in theOttoman Empire),Greek,"""for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture""[64]","poetry, essay, memoir"
1964,Jean-Paul Sartre(1905–1980),France,French,"""for his work, which rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age""[65]","philosophy, novel, drama, essay, short story, screenplay"
1965,Mikhail Sholokhov(1905–1984),Soviet Union,Russian,"""for the artistic power and integrity with which, in hisepic of the Don, he has given expression to a historic phase in the life of the Russian people""[66]",novel
1966,Shmuel Yosef Agnon(1888–1970),Israel(born inAustria-Hungary),Hebrew,"""for his profoundly characteristic narrative art with motifs from the life of the Jewish people""[67]","novel, short story"
1966,Nelly Sachs(1891–1970),West GermanySweden,German,"""for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength""[67]","poetry, drama"
1967,Miguel Ángel Asturias(1899–1974),Guatemala,Spanish,"""for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America""[68]","novel, poetry"
